id,title,impl,dry,unit,integration,oracle,mock_fidelity,confidence,risk
[B1],Amendment B1 Section,src/graph.py::create_graph,DRY,tests/unit/test_graph_wiring.py::TestIntentClarificationWiring.test_graph_compiles_without_error,tests/integration/test_clarification_recovery.py::TestAmbiguousPromptEntersClarification.test_missing_required_field_routes_to_clarification,tests/integration/l5_full_pipeline/test_full_graph.py::TestFullGraphExecution.test_happy_path_full_workflow,DRIFTED,MEDIUM,canonical GraphState typing for clarification payloads is inconsistent with runtime/test shape.
[B1],Feature A Dependency Gate,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,no enforceable dependency check for this prerequisite was found in code or tests.
[B1],Amendment B1 Session Dependency,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,no session-completion enforcement logic or marker check exists for this dependency.
[B1.1],Graph Topology Change,src/graph.py::create_graph,DUPLICATED,tests/unit/test_graph_wiring.py::TestIntentClarificationWiring.test_intent_extraction_node_in_graph,tests/integration/test_clarification_recovery.py::TestRecoveryRouting.test_resolved_routes_to_input_writer,tests/integration/l5_full_pipeline/test_full_graph.py::TestFullGraphExecution.test_graph_compilation_success,ALIGNED,MEDIUM,duplicate graph definitions can drift and hide topology regressions between execution surfaces.
[B1.2],Intent Extraction Node,src/nodes/intent_extraction_node.py::intent_extraction_node,DRY,tests/unit/test_intent_extraction_node.py::TestIntentExtractionNode.test_tier1_beats_tier2_beats_llm,ABSENT,ABSENT,DRIFTED,MEDIUM,schema drift on state keys can break cross-node assumptions even though unit behavior passes.
[B1.3],Clarification Node and Sufficiency Evaluator,src/nodes/clarification_node.py::clarification_node,DRY,tests/unit/test_clarification_node.py::TestDecisionLevels.test_level_1_batches_all_missing_required_fields,tests/integration/test_clarification_recovery.py::TestRetryNonConvergence.test_non_convergence_does_not_loop_forever,ABSENT,DRIFTED,HIGH,"strongest gap is schema typing mismatch, not core node behavior."
[B1.4],Reviewer Node Non-Converging Failure Routing,src/nodes/reviewer_node.py::reviewer_node,DRY,tests/unit/test_graph_wiring.py::TestGraphConditionalWiring.test_graph_supports_retry_cycle,tests/integration/l5_full_pipeline/test_full_graph.py::TestFullGraphExecution.test_graph_handles_recursion_limit,ABSENT,NO_UNIT_TEST,MEDIUM,no criterion-specific unit test directly asserts reviewer failure-category routing semantics.
[B1.5],GraphState Additions,src/models/graph_state_canonical.py::GraphState,DRY,tests/unit/test_graph_state_init.py::test_all_new_fields_have_defaults,ABSENT,ABSENT,DRIFTED,HIGH,type mismatch on clarification fields may cause future strict-validation breakage.
[B1.6],MCP Entry Point Wiring,mcp_server.py::call_tool,DRY,tests/unit/test_interactive_security_and_wrapping.py::test_mcp_server_ignores_untrusted_caller_action,tests/integration/l1_mcp/test_mcp_stdio.py::test_mcp_stdio_list_tools_and_validate_inputs,ABSENT,ALIGNED,HIGH,no oracle-level pipeline test validates policy metadata persistence end-to-end over stdio MCP.
[B1.6],interactive_service Required,src/interactive_service.py::invoke_tool,DRY,tests/unit/test_interactive_service.py::test_invoke_tool_writes_gate_approval_record,ABSENT,ABSENT,ALIGNED,HIGH,integration-level assertions for session persistence behavior are limited.
